,title,bytes
0,Almsee,0
1,Altausseer See,0
2,Amper,0
3,Bäke (Telte),0
4,Blabbergraben,0
5,Bullengraben,0
6,Dornbirner Ach,0
7,Elbe,0
8,Elsterwerda-Grödel-Floßkanal,0
9,Europäisches Nordmeer,0
10,Große Dhünntalsperre,0
11,Grundlsee (See),0
12,Hochwasser in Würzburg,0
13,Hochwasserrückhaltebecken Jonenbach,0
14,Hochwasserschutz in Dresden,0
15,Isar,0
16,Ludwig-Donau-Main-Kanal,0
17,Main,0
18,Moälven,0
19,Mono Lake,0
20,Nationalpark Schleswig-Holsteinisches Wattenmeer,0
21,Oderteich,0
22,Osterseen,0
23,Parsteiner See,0
24,Pegel Würzburg,0
25,Ragöse,0
26,Schermützelsee,0
27,Thermalbäder Baden,0
28,Toplitzsee,0
29,Walchensee,0
30,Wedeler Au,0
31,Weser,0
32,Wiener Neustädter Kanal,0
33,Wiese (Fluss),0
34,Babisnauer Pappel,0
35,Belziger Landschaftswiesen,0
36,Binghöhle,0
37,Bryce-Canyon-Nationalpark,0
38,Büyükkale,0
39,Charlottenhöhle,0
40,Dachsteingebirge,0
41,Drei Zinnen,0
42,Eberstadter Tropfsteinhöhle,0
43,Eiger-Nordwand,0
44,Externsteine,0
45,Femeiche,0
46,Glacier-Nationalpark (Vereinigte Staaten),0
47,Goetz-Höhle,0
48,Grabeiche,0
49,Große Nordwände der Alpen,0
50,Großglockner,0
51,Hesselberg,0
52,Hoflößnitz,0
53,Hohentwiel,0
54,Höllengebirge,0
55,Johannisberg (Jena-Lobeda),0
56,Kaditzer Linde,0
57,Kaiserwald (Steiermark),0
58,Kasberger Linde,0
59,Kittelsthaler Tropfsteinhöhle,0
60,Königseiche,0
61,König-Ludwig-Eiche,0
62,König-Otto-Tropfsteinhöhle,0
63,Kordigast,0
64,Ku-ring-gai-Chase-Nationalpark,0
65,Linde in Schenklengsfeld,0
66,Lötschental,0
67,Marienglashöhle,0
68,Mount Everest,0
69,"Murellenberge, Murellenschlucht und Schanzenwald",0
70,Nemrut Dağı (Adıyaman),0
71,North York Moors,0
72,Ortler,0
73,Parforceheide,0
74,Passwang,0
75,Pfaffenstein,0
76,Pfälzerwald,0
77,Praviršulio tyrelis,0
78,Puʻu ʻŌʻō,0
79,Redwood-Nationalpark,0
80,Rehberg (Wasgau),0
81,Rotes Moor (Rhön),0
82,Schafberg (Salzkammergut-Berge),0
83,Schellenberger Eishöhle,0
84,Schildhorn,0
85,Schmorsdorfer Linde,0
86,Schönbuch,0
87,Schöne Eiche (Harreshausen),0
88,Schraden (Landschaft),0
89,Schwarzes Moor,0
90,Sengsengebirge,0
91,Seven Summits,0
92,Sophienhöhle,0
93,Staatsforst Burgholz,0
94,Tägermoos,0
95,Tanzlinde (Effeltrich),0
96,Teufelshöhle bei Pottenstein,0
97,Teufelshöhle (bei Steinau),0
98,Tiefwerder Wiesen,0
99,Totes Gebirge,0
100,Tüllinger Berg,0
101,Turracher Höhe,0
102,Winterstein (Sächsische Schweiz),0
103,Zugspitze,0
104,Argentinien,0
105,Australien,0
106,Finnland,0
107,Ghana,0
108,Indien,0
109,Kanada,0
110,Lesotho,0
111,Osttimor,0
112,Südafrika,0
113,Åland,0
114,Bessarabien,0
115,Erzgebirgspässe,0
116,Färöer,0
117,Goa,0
118,Kreis Dithmarschen,0
119,Landkreis Weißenburg-Gunzenhausen,0
120,Lappland (Finnland),0
121,Mittelmeerraum,0
122,Mittelland (Schweiz),0
123,North Carolina,0
124,Oe-Cusse Ambeno,0
125,Ostfriesland,0
126,Samtgemeinde Brookmerland,0
127,Tamil Nadu,0
128,Vercors,0
129,Norderney,0
130,Osterinsel,0
131,Sylt,0
132,Aarau,0
133,Apolda,0
134,Arbon,0
135,Augsburg,0
136,Baden AG,0
137,Bielefeld,0
138,Bonn,0
139,Braunschweig,0
140,Bremgarten AG,0
141,Brugg,0
142,Delitzsch,0
143,Dresden,0
144,Eberswalde,0
145,Elsterwerda,0
146,Emden,0
147,Erkelenz,0
148,Erkrath,0
149,Frankfurt am Main,0
150,Freiburg im Üechtland,0
151,Freistadt,0
152,Freudenstadt,0
153,Gelsenkirchen,0
154,Görlitz,0
155,Havelsee,0
156,Leer (Ostfriesland),0
157,Leipzig,0
158,Lienz,0
159,Lörrach,0
160,Mainz,0
161,Memmingen,0
162,Mülheim an der Ruhr,0
163,Neumarkt in der Oberpfalz,0
164,Norden (Ostfriesland),0
165,Öhringen,0
166,Perg,0
167,Plauen,0
168,Potsdam,0
169,Quakenbrück,0
170,Quedlinburg,0
171,Regensburg,0
172,Rheinfelden AG,0
173,Rodgau,0
174,Rosenau (Brandenburg),0
175,Rostock,0
176,Ruhla,0
177,Salzburg,0
178,Schüttorf,0
179,Senftenberg,0
180,Teltow,0
181,Weinsberg,0
182,Wetzlar,0
183,Wiesbaden,0
184,Wiesmoor,0
185,Wittmund,0
186,Xanten,0
187,Zofingen,0
188,Bhaktapur,0
189,Bordeaux,0
190,Burgas,0
191,Calumet City,0
192,Canberra,0
193,Chantilly,0
194,Chico (Kalifornien),0
195,Cleveland,0
196,Córdoba (Argentinien),0
197,Delft,0
198,Hongkong,0
199,Jaroslawl,0
200,Kairo,0
201,Kuusamo,0
202,Lima,0
203,Mexiko-Stadt,0
204,Montreal,0
205,Moskau,0
206,Peking,0
207,Québec (Stadt),0
208,Sankt Petersburg,0
209,São Paulo,0
210,Seoul,0
211,Sodankylä,0
212,Sosopol,0
213,Tornio,0
214,Toronto,0
215,Vancouver,0
216,Victoria (British Columbia),0
217,Albertstadt,0
218,Aubing,0
219,Amendingen,0
220,Berlin-Friedenau,0
221,Berlin-Prenzlauer Berg,0
222,Döbling,0
223,Gröben (Ludwigsfelde),0
224,Frankfurt-Höchst,0
225,Ostheim (Köln),0
226,Rote Insel,0
227,Sendling,0
228,Altaussee,0
229,Bad Kleinkirchheim,0
230,Bahretal,0
231,Beetzsee (Gemeinde),0
232,Beetzseeheide,0
233,Bunde,0
234,Dirmstein,0
235,Ersfeld,0
236,Friedeburg,0
237,Großefehn,0
238,Hausen im Wiesental,0
239,Ihlow (Ostfriesland),0
240,Jemgum,0
241,Kals am Großglockner,0
242,Kleinmachnow,0
243,Krummhörn,0
244,Lustenau,0
245,Matrei in Osttirol,0
246,Moormerland,0
247,Nußdorf-Debant,0
248,Oderwitz,0
249,Prägraten am Großvenediger,0
250,Samtgemeinde Hesel,0
251,Samtgemeinde Jümme,0
252,Schwieberdingen,0
253,St. Jakob in Defereggen,0
254,Südbrookmerland,0
255,Uplengen,0
256,Vintl,0
257,Virgen,0
258,Weiach,0
259,Wohlen,0
260,Zingst,0
261,Arbat,0
262,Alexanderplatz,0
263,Botanischer Garten und Botanisches Museum Berlin,0
264,Bremer Marktplatz,0
265,Brühl (Leipzig),0
266,Bürgerpark und Stadtwald,0
267,Frankfurter Judengasse,0
268,Harvestehuder Weg,0
269,Hermannstraße (Berlin-Neukölln),0
270,Hestercombe Gardens,0
271,Kornmarkt (Frankfurt am Main),0
272,Landschaftspark Grütt,0
273,Neumarkt (Dresden),0
274,Parc del Laberint d’Horta,0
275,Parc des Buttes-Chaumont,0
276,Roter Platz,0
277,Rudolph-Wilde-Park,0
278,Schönhauser Allee,0
279,Haida (Röderland),0
280,Prieschka,0
281,Rethen (Vordorf),0
282,Saathain,0
283,Schönwalde (Wandlitz),0
284,Würdenhain,0
285,Zeischa,0
286,Geschichte des Kantons Aargau,0
287,Geschichte Albertas,0
288,Geschichte Aubings,0
289,Geschichte Chiles,0
290,Geschichte der First Nations,0
291,Geschichte der Tr’ondek Hwech’in First Nation,0
292,Geschichte Ghanas,0
293,Geschichte Heidelbergs,0
294,Geschichte von Höchst am Main,0
295,Geschichte Kanadas,0
296,Geschichte der Demokratischen Republik Kongo,0
297,Geschichte Lörrachs,0
298,Geschichte der Stadt Mainz,0
299,Geschichte Matreis in Osttirol,0
300,Geschichte der Stadt Münster,0
301,Geschichte Ostfrieslands,0
302,Geschichte Osttimors,0
303,Geschichte Osttirols,0
304,Geschichte Rostocks,0
305,Geschichte der Stadt Zürich,0
306,Ägyptisch-Hethitischer Friedensvertrag,0
307,Ahmose-Pyramide,0
308,Akrotiri (Santorin),0
309,Cheops,0
310,Cheops-Pyramide,0
311,Chephren,0
312,Dahamunzu-Affäre,0
313,Dareios I.,0
314,Djoser-Pyramide,0
315,Doppelgrab von Oberkassel,0
316,Grab des Nacht (TT52),0
317,Gudea,0
318,Ḫattuša,0
319,Karatepe-Arslantaş,0
320,Keramik im Alten Ägypten,0
321,Knickpyramide,0
322,Kyros II.,0
323,Megalithik in den Niederlanden,0
324,Meidum-Pyramide,0
325,Minoische Eruption,0
326,Mungo Man,0
327,Mykerinos,0
328,Neferirkare,0
329,Niuserre,0
330,Nordreich Israel,0
331,Pepi II.,0
332,Peribsen,0
333,Poverty Point,0
334,Radjedef-Pyramide,0
335,Raneferef,0
336,Raneferef-Pyramide,0
337,Rote Pyramide,0
338,Sahure-Pyramide,0
339,Sechemchet-Pyramide,0
340,Sesostris-I.-Pyramide,0
341,Snofru,0
342,Tachos,0
343,Tell el-Maschuta,0
344,Tempel von Abu Simbel,0
345,Thutmosis III.,0
346,Unas-Pyramide,0
347,Urgeschichte Italiens,0
348,Ur- und frühgeschichtliche Sammlung der Universität Jena,0
349,Weneg (König),0
350,Yazılıkaya,0
351,Agathokles von Syrakus,0
352,Allgemeiner Friede,0
353,Ammianus Marcellinus,0
354,Antinoos,0
355,Antiochos VII.,0
356,Apulische Bildervasen für eine Totenfeier (Antikensammlung Berlin),0
357,Archäologische Stätten von Agrigent,0
358,Arminius,0
359,Attila,0
360,Augusta Treverorum,0
361,Augustus,0
362,Bar-Kochba-Aufstand,0
363,Bogen von Orange,0
364,Bücherverluste in der Spätantike,0
365,Caligula,0
366,Caracalla,0
367,Claudius,0
368,Dativius-Victor-Bogen,0
369,Diadochen,0
370,Dion von Syrakus,0
371,Dionysios I. von Syrakus,0
372,Dodona,0
373,Julia Domna,0
374,Eifelwasserleitung,0
375,Elagabal,0
376,Eratosthenes,0
377,Erster Punischer Krieg,0
378,Eusebia,0
379,Gladiator,0
380,Goldenes Zeitalter,0
381,Heidelberg in römischer Zeit,0
382,Heiligtum der Isis und Mater Magna (Mainz),0
383,Hellenismus,0
384,Hephaistion,0
385,Herodes,0
386,Hypatia,0
387,Julian (Kaiser),0
388,Kastell Ala Nova,0
389,Kastell Buch,0
390,Kastell Hesselbach,0
391,Kastell Klosterneuburg,0
392,Kastell Stockstadt,0
393,Konstantin der Große,0
394,Korykos,0
395,Lelantischer Krieg,0
396,Limesfall,0
397,Limestor Dalkingen,0
398,Livia Drusilla,0
399,Londinium,0
400,Lopodunum,0
401,Lucius Cornelius Sulla Felix,0
402,Macrinus,0
403,Macrobius Ambrosius Theodosius,0
404,Marcus Porcius Cato der Jüngere,0
405,Masada,0
406,Mogontiacum,0
407,Neaira (Hetäre),0
408,Nida (römische Stadt),0
409,Obergermanisch-Raetischer Limes,0
410,Peloponnesischer Krieg,0
411,Philipp II. (Makedonien),0
412,Pompeji,0
413,Pontius-Pilatus-Inschrift von Caesarea,0
414,Prometheus,0
415,Prostitution in der Antike,0
416,Reichskrise des 3. Jahrhunderts,0
417,Römisch-Persische Kriege,0
418,Sassanidenreich,0
419,Schlacht am Trasimenischen See,0
420,Severus Alexander,0
421,Sizilienexpedition,0
422,Spätantike,0
423,Quintus Aurelius Symmachus,0
424,Tarraco,0
425,Themistios,0
426,Theodosius I.,0
427,Tiberius,0
428,Titus,0
429,Tote Städte,0
430,Trajan,0
431,Tyrannis,0
432,Varusschlacht,0
433,Vetera,0
434,Lucius Vitellius (Vater),0
435,Völkerwanderung,0
436,Cao Cao,0
437,Sun Quan,0
438,Teotihuacán,0
439,Uxmal,0
440,Adelsgesellschaft,0
441,Angkor,0
442,Arnolf von Kärnten,0
443,Agnes Bernauer,0
444,Wenzel von Böhmen,0
445,Burggrafschaft Friedberg,0
446,Deutscher Orden,0
447,Francesco Datini,0
448,Friedrich I. (HRR),0
449,Friedrich II. (HRR),0
450,Friedrich III. (HRR),0
451,Friedrich III. von Saarwerden,0
452,Friedrich der Schöne,0
453,Frühmittelalter,0
454,Fürstpropstei Berchtesgaden,0
455,Gero,0
456,Heiliges Römisches Reich,0
457,Heinrich der Löwe,0
458,Heinrich I. (Ostfrankenreich),0
459,Heinrich II. (HRR),0
460,Heinrich III. (HRR),0
461,Heinrich IV. (HRR),0
462,Heinrich V. (HRR),0
463,Heinrich VII. (HRR),0
464,Heiratsurkunde der Kaiserin Theophanu,0
465,Hermann Billung,0
466,Jacza von Köpenick,0
467,Karl der Große,0
468,Karl Martell,0
469,Konrad I. (Ostfrankenreich),0
470,Konrad II. (HRR),0
471,Konrad III. (HRR),0
472,Krönung der römisch-deutschen Könige und Kaiser,0
473,Krönungsmantel,0
474,Liudger (Billunger),0
475,Ludwig IV. (HRR),0
476,Ludwig VII. (Bayern),0
477,Ludwig der Deutsche,0
478,Marguerite Porete,0
479,Mathilde von Canossa,0
480,Cosimo de’ Medici,0
481,Mistislaw,0
482,Mojmir I.,0
483,Niklot,0
484,Otto I. (HRR),0
485,Otto II. (HRR),0
486,Otto III. (HRR),0
487,Otto IV. (HRR),0
488,Philipp von Schwaben,0
489,Republik Venedig,0
490,Reichskrone,0
491,Reichsschwert,0
492,Richard Löwenherz,0
493,Rudolf I. (HRR),0
494,Samo,0
495,Schlacht bei Tannenberg (1410),0
496,Straubing-Holland,0
497,Thietmar von Merseburg,0
498,Ulrich von Jungingen,0
499,Yongle,0
500,Zeremonialschwert (Essen),0
501,John Adams,0
502,Johannes Brenz,0
503,Aaron Burr,0
504,John Colter,0
505,Devolutionskrieg,0
506,Dreizehn Kolonien,0
507,Englisch-Niederländischer Krieg (1665–1667),0
508,Englisch-Spanischer Krieg (1625–1630),0
509,Englisch-Spanischer Krieg (1727–1729),0
510,Fettmilch-Aufstand,0
511,Sebastian Franck,0
512,Friedrich V. (Pfalz),0
513,Gävlefischer,0
514,Goldenes Zeitalter (Niederlande),0
515,Hanno (Elefant),0
516,Hans Denck,0
517,Helvetische Republik,0
518,Herzogtum Westfalen,0
519,Illuminatenorden,0
520,Thomas Jefferson,0
521,Tadeusz Kościuszko,0
522,Ludwig XIV.,0
523,Mainzer Jakobinerklub,0
524,Mandarin (Titel),0
525,Maria I. (England),0
526,Mathias Metternich,0
527,Mogulreich,0
528,Jakob Meyer zum Hasen,0
529,Nieuw Nederland,0
530,Lewis Nicola,0
531,Nürnberger Börse,0
532,Oberlausitzer Pönfall,0
533,Ostfriesland zur Zeit des Dreißigjährigen Krieges,0
534,Philipp I. (Hessen),0
535,Qianlong,0
536,Reichstag zu Augsburg (1530),0
537,Schlacht in der Bucht von Bergen,0
538,Schlacht bei Minden,0
539,Schlacht bei Warburg,0
540,Vicke Schorler,0
