,title,bytes
0,,0
1,,0
2,,0
3,Aggertalhöhle,0
4,Arches-Nationalpark,0
5,Allalinhorn,0
6,Barmer Anlagen,0
7,Bergpark Wilhelmshöhe,0
8,Biosphärenreservat Thüringer Wald,0
9,Birnbaumer Wald,0
10,Buchkogel (Plabutsch),0
11,Coachella Valley,0
12,Craters of the Moon National Monument,0
13,Cueva de Villa Luz,0
14,Dreiländergarten,0
15,Dresdner Heide,0
16,Dschabal Sindschar,0
17,Edignalinde,0
18,Eiger,0
19,Eiserne Hand (Nordwestschweiz),0
20,Eldfell,0
21,Fiordland-Nationalpark,0
22,Fließwiese Ruhleben,0
23,Fort Sumter,0
24,Frankfurter Stadtwald,0
25,Friedrichstaler Kanal,0
26,Glasenbachklamm,0
27,Glienicker Weg,0
28,Golmberg,0
29,Hecla-Grindstone Provincial Park,0
30,Heinrichshöhle,0
31,Holpertal,0
32,Höllengebirge,0
33,Jura (Gebirge),0
34,Kap Arkona,0
35,Königspitze,0
36,Kubacher Kristallhöhle,0
37,Kurpark Bad Hall,0
38,Lüneburger Heide,0
39,Lustgarten (Berlin),0
40,Morteratschgletscher,0
41,Mount St. Helens,0
42,Nationalpark Nino Konis Santana,0
43,Nördlinger Ries,0
44,Oberharzer Wasserregal,0
45,Pinnacles-Nationalpark,0
46,Plainberg,0
47,Regionaler Naturpark Aveto,0
48,Sandhausener Dünen,0
49,Shoshone National Forest,0
50,Teltow (Landschaft),0
51,Ukkusiksalik-Nationalpark,0
52,Unzen (Vulkan),0
53,Vernagtferner,0
54,Vesuv,0
55,Waldheide,0
56,Watzmann,0
57,Weißenberg (Frankenweide),0
58,Weizklamm,0
59,Westpark (München),0
60,Wüste Lop Nor,0
61,Yellowstone-Nationalpark,0
62,Afghanistan,0
63,Brasilien,0
64,Elfenbeinküste,0
65,Gambia,0
66,Georgien,0
67,Island,0
68,Israel,0
69,Jamaika,0
70,Japan,0
71,Laos,0
72,Nauru,0
73,Neuseeland,0
74,Österreich,0
75,Pakistan,0
76,Republik China (Taiwan),0
77,Slowakei,0
78,Südkorea,0
79,Ungarn,0
80,Uruguay,0
81,Bobonaro (Gemeinde),0
82,British Columbia,0
83,Cameron County (Texas),0
84,Cova Lima,0
85,Dourtenga,0
86,Etowah County,0
87,Fujian,0
88,Hidalgo County (Texas),0
89,Kerala,0
90,Lautém (Gemeinde),0
91,Lößnitz (Großlage),0
92,Neandertal,0
93,Nordwest-Territorien,0
94,Oberlausitz,0
95,Oblast Kaliningrad,0
96,Osttexas,0
97,Périgord,0
98,Polynesien,0
99,Rhein-Main-Gebiet,0
100,Ruhrgebiet,0
101,Sauerland,0
102,Tasitolu,0
103,Tazacorte,0
104,Tscherkessen,0
105,Tibet,0
106,Thüringen,0
107,Yukon (Territorium),0
108,Attersee,0
109,Bermudadreieck,0
110,Blausteinsee,0
111,Bodensee,0
112,Canal du Midi,0
113,Donau,0
114,Elde,0
115,Erzkanal im Freiberger Nordrevier,0
116,Flaucher,0
117,Grunewaldsee,0
118,Hochwasser in Bremen,0
119,Hüle,0
120,Isel,0
121,Lake Burley Griffin,0
122,"Lauter (Rhein, Neuburg)",0
123,Lendkanal,0
124,Luisenstädtischer Kanal,0
125,Main-Donau-Kanal,0
126,Main-Werra-Kanal,0
127,Mangfall,0
128,Neusiedler See,0
129,Nordsee,0
130,Offensee,0
131,Panamakanal,0
132,Panke,0
133,Balaton,0
134,Stausee Lipno,0
135,Tassiloquelle,0
136,Tyrrhenisches Meer,0
137,Zuiderzeewerke,0
138,Bäreninsel,0
139,Chortyzja,0
140,El Hierro,0
141,Ghetto (Venedig),0
142,Helgoland,0
143,Hiddensee,0
144,Kerguelen,0
145,Langlütjen,0
146,Lohmühleninsel,0
147,Marquesas,0
148,Museumsinsel (Berlin),0
149,Pfaueninsel,0
150,Pitcairn,0
151,Saaremaa,0
152,St. Kilda (Schottland),0
153,Sark,0
154,Sealand,0
155,Surtsey,0
156,Taiwan (Insel),0
157,Wangerooge,0
158,Alboinplatz,0
159,Alter Garten (Schwerin),0
160,Altstadtmarktbrunnen,0
161,Augsburger Straße (Berlin),0
162,Avenue des Champs-Élysées,0
163,Burgplatz (Düsseldorf),0
